old_name,new_name
mers_mers24_control,MERS24
sars_sars24_control,SARS24
covid_india_covid_19_control,COVID-INDIA
nafld_control_nafld,NAFLD
mers_mers12_control,MERS12
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis
sars_sars2_control,SARS2
sars_cov_2_covid_48hr_control_covid_48hr_infected,SARS-CoV-2-48h
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis
sars_sars4_control,SARS4
mers_mers4_control,MERS4
mers_mers2_control,MERS2
ipf_ipf_control,IPF
sars_cov_2_variants_alpha_control_72hr,SARS-CoV-2-Alpha-72h
copd_control_copd,COPD
covid_europe_covid_19_control,COVID-Austria
sars_sars12_control,SARS12
sars_cov_2_covid_72hr_control_covid_72hr_infected,SARS-CoV-2-72h
sars_cov_2_covid_24hr_control_covid_24hr_infected,SARS-CoV-2-24h
liver_diseases_normal_advanced_hcc,Advanced_HCC
tuberculosis_live_72_ni_72,MTB_live72_NI72
sars_cov_2_variants_alpha_control_48hr,SARS-CoV-2-Alpha-48h
tuberculosis_live_2_ni_2,MTB_live2_NI2
sars_cov_2_variants_control_delta_72hr,SARS-CoV-2-Delta-72h
tuberculosis_hi_72_ni_72,MTB_hi72_NI72
tuberculosis_live_48_ni_48,MTB_live48_NI48
tuberculosis_live_18_ni_18,MTB_live18_NI18
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis
ards_ards_sepsis,ARDS-Sepsis
tobacco_smoke_cse_drug_control_drug,CSE-drug
tuberculosis_hi_48_ni_48,MTB_hi48_NI48
influenza_inf_48_control,Influenza_48
tuberculosis_hi_18_ni_18,MTB_hi18_NI18
tuberculosis_hi_72_live_72,MTB_hi72_Live72
tuberculosis_hi_48_live_48,MTB_hi48_Live48
tuberculosis_hi_18_live_18,MTB_hi18_Live18
tuberculosis_hi_2_live_2,MTB_hi2_Live2
sars_cov_2_variants_control_delta_48hr,SARS-CoV-2-Delta-48h
tobacco_smoke_control_drug_tse_drug,TSE-drug
tuberculosis_hi_2_ni_2,MTB_hi2_NI2
tobacco_smoke_cse_vehicle_control_vehicle,CSE-Nodrug
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal
nafl_nash_spectrum_nash_normal_weight,NASH_normal
liver_diseases_normal_early_hcc,Early_HCC
sars_cov_2_covid_0hr_control_covid_0hr_infected,SARS-CoV-2-0h
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h
nafl_nash_spectrum_nash_obese,NASH_Obese
influenza_inf_8_control,Influenza_8
nafl_nash_spectrum_nafl_obese,NAFL_Obese
nsclc_control_nsclc,NSCLC
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h
sars_cov_2_variants_alpha_control_24hr,SARS-CoV-2-Alpha-24h
influenza_inf_24_control,Influenza_24
asthma_asthma_control_base,Asthma-base
gall_bladder_cancer_control,Gall_bladder_cancer
sclc_sclc_control,SCLC
asthma_asthma_control_albuterol,Asthma-albuterol
asthma_asthma_control_vit_d,Asthma-VitD
nafl_nash_spectrum_normal_weight_obese,Normal_Obese
nafl_nash_spectrum_nafl_nash,NAFL_NASH
liver_damage_ploidy_diploid_aged_diploid_young,2n-aged_2n-young
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged
liver_damage_ploidy_diploid_aged_polyploid_young,2n-aged_P-young
liver_damage_ploidy_diploid_young_polyploid_aged,2n-young_P-aged
liver_damage_ploidy_diploid_young_polyploid_young,2n-young_P-young
liver_damage_ploidy_polyploid_aged_polyploid_young,P-aged_P-young
